ticker,prefixed,name,sector,industry,date,close,chg20,chg1,chg2,chg3,volume,score,passed,uptrend7
SH605162,sh605162,新中港,电力,电力,2026-09-09,11.23,23.5,9.99,9.45,5.15,647426.0,7.0,uptrend7,7/8
SH605151,sh605151,西上海,汽车,汽车,2026-09-09,19.98,6.6,4.77,5.1,5.83,30014.0,7.0,uptrend7,7/8
SH605167,sh605167,利柏特,建筑施工,建筑施工,2026-09-09,16.49,9.8,0.06,0.92,2.74,47194.0,6.0,uptrend7,6/8
SH605168,sh605168,三人行,营销服务,营销服务,2026-09-09,49.64,12.7,-9.99,-5.43,4.02,74359.0,6.0,uptrend7,6/8
SH605180,sh605180,华生科技,纺织,纺织,2026-09-09,13.35,6.6,0.0,0.91,1.44,14279.0,6.0,uptrend7,6/8
SH605169,sh605169,洪通燃气,燃气,燃气,2026-09-09,12.85,26.6,-1.38,0.39,1.82,32463.0,6.0,uptrend7,6/8
SH605188,sh605188,国光连锁,零售,零售,2026-09-09,15.36,16.9,3.3,3.23,7.41,337290.0,5.0,uptrend7,5/8
SH605183,sh605183,确成股份,化学制品,化学制品,2026-09-09,16.28,10.1,-1.93,2.71,4.49,30797.0,7.0,uptrend7,7/8
SH605198,sh605198,安德利,饮料,饮料,2026-09-09,77.0,15.6,10.0,16.14,16.83,39518.0,7.0,uptrend7,7/8
SH605258,sh605258,协和电子,电子设备制造,电子设备制造,2026-09-09,31.57,14.1,3.64,4.26,7.45,37979.0,6.0,uptrend7,6/8
SH605208,sh605208,永茂泰,基本金属,基本金属,2026-09-09,14.9,6.0,-0.07,-1.46,1.22,51430.0,6.0,uptrend7,6/8
SH605222,sh605222,起帆电缆,输变电设备,输变电设备,2026-09-09,23.43,15.5,6.11,7.08,11.1,187539.0,8.0,uptrend7,8/8
SH605259,sh605259,绿田机械,通用设备,通用设备,2026-09-09,18.08,-1.0,0.22,1.86,1.97,6856.0,5.0,uptrend7,5/8
SH605268,sh605268,王力安防,金属制品,金属制品,2026-09-09,9.85,5.2,0.51,1.13,2.07,27321.0,6.0,uptrend7,6/8
SH605266,sh605266,健之佳,医药商业,医药商业,2026-09-09,16.21,-6.2,-0.25,1.0,1.69,12037.0,5.0,uptrend7,5/8
SH605300,sh605300,佳禾食品,食品,食品,2026-09-09,10.73,8.4,-4.88,2.29,3.97,206642.0,7.0,uptrend7,7/8
SH605296,sh605296,神农集团,畜牧业,畜牧业,2026-09-09,35.5,13.6,-1.11,-2.66,-0.48,30337.0,6.0,uptrend7,6/8
SH605337,sh605337,李子园,饮料,饮料,2026-09-09,9.64,-2.1,-1.23,-0.21,1.9,33817.0,8.0,uptrend7,8/8
SH605338,sh605338,巴比食品,食品,食品,2026-09-09,19.01,-6.6,-2.66,-2.71,-1.76,29659.0,5.0,uptrend7,5/8
SH605366,sh605366,宏柏新材,化学制品,化学制品,2026-09-09,8.23,-3.9,2.36,4.18,4.31,280276.0,5.0,uptrend7,5/8
SH605358,sh605358,立昂微,半导体,半导体,2026-09-09,42.13,-7.4,0.52,-1.54,4.93,195463.0,5.0,uptrend7,5/8
SH605388,sh605388,均瑶健康,食品,食品,2026-09-09,6.42,1.1,-1.53,-1.08,3.88,122040.0,8.0,uptrend7,8/8
