ticker,prefixed,name,sector,industry,date,close,chg20,chg1,chg2,chg3,volume,score,passed,uptrend7
SZ002839,sz002839,张家港行,银行,银行,2026-09-10,4.47,4.0,-0.22,1.36,3.71,64021.0,5.0,uptrend7,5/8
SZ002852,sz002852,道道全,农业,农业,2026-09-10,9.32,20.6,-0.64,-3.22,-0.43,77646.0,7.0,uptrend7,7/8
SZ002856,sz002856,*ST美芝,装修装饰,装修装饰,2026-09-10,22.75,59.6,6.81,1.79,4.84,38853.0,8.0,uptrend7,8/8
SZ002862,sz002862,实丰文化,文娱用品,文娱用品,2026-09-10,15.85,14.8,-1.18,-2.16,-1.25,30357.0,6.0,uptrend7,6/8
SZ002863,sz002863,今飞凯达,汽车,汽车,2026-09-10,4.91,9.4,-0.61,1.03,1.66,36166.0,5.0,uptrend7,5/8
SZ002868,sz002868,绿康生化,畜牧业,畜牧业,2026-09-10,24.56,5.8,-2.85,-7.29,-4.4,16909.0,5.0,uptrend7,5/8
SZ002870,sz002870,香山股份,汽车,汽车,2026-08-31,53.0,38.6,6.23,9.39,13.13,69085.0,6.0,uptrend7,6/8
SZ002881,sz002881,美格智能,通信设备,通信设备,2026-09-10,42.71,12.2,-3.7,-10.1,-7.39,73362.0,5.0,uptrend7,5/8
SZ002899,sz002899,英派斯,文娱用品,文娱用品,2026-09-10,20.91,5.3,1.21,2.35,5.5,10696.0,5.0,uptrend7,5/8
SZ002895,sz002895,川恒股份,化学原料,化学原料,2026-09-10,33.93,2.0,0.33,0.65,3.22,17053.0,6.0,uptrend7,6/8
SZ002897,sz002897,意华股份,通信设备,通信设备,2026-09-10,65.99,13.2,4.88,2.63,7.65,84416.0,8.0,uptrend7,8/8
SZ002893,sz002893,京能热力,电力,电力,2026-09-10,10.96,11.8,-1.7,2.72,3.98,92192.0,6.0,uptrend7,6/8
SZ002902,sz002902,铭普光磁,电子器件,电子器件,2026-09-10,27.81,12.0,3.31,3.34,2.32,77591.0,6.0,uptrend7,6/8
SZ002905,sz002905,金逸影视,影视动漫,影视动漫,2026-09-10,8.85,11.5,-4.84,-0.34,1.84,48118.0,6.0,uptrend7,6/8
SZ002909,sz002909,集泰股份,化学制品,化学制品,2026-09-10,8.18,58.8,-4.99,-6.19,3.15,423463.0,7.0,uptrend7,7/8
SZ002910,sz002910,庄园牧场,食品,食品,2026-09-10,10.64,11.9,-3.01,-1.48,1.43,84095.0,7.0,uptrend7,7/8
SZ002912,sz002912,中新赛克,计算机软件,计算机软件,2026-09-10,21.37,8.5,9.98,8.98,7.71,56280.0,6.0,uptrend7,6/8
SZ002911,sz002911,佛燃能源,燃气,燃气,2026-09-10,11.9,10.4,0.85,2.06,4.85,16041.0,6.0,uptrend7,6/8
SZ002913,sz002913,奥士康,电子元件,电子元件,2026-09-10,70.9,27.4,-0.42,9.46,8.89,55529.0,8.0,uptrend7,8/8
SZ002916,sz002916,深南电路,电子元件,电子元件,2026-09-10,382.46,1.2,-0.22,-0.01,4.79,13457.0,6.0,uptrend7,6/8
SZ002917,sz002917,金奥博,化学制品,化学制品,2026-09-10,10.5,0.8,-1.13,-1.41,-0.38,7295.0,5.0,uptrend7,5/8
SZ002928,sz002928,华夏航空,航空机场,航空机场,2026-09-10,6.48,0.3,0.0,1.09,0.93,48733.0,5.0,uptrend7,5/8
SZ002927,sz002927,泰永长征,输变电设备,输变电设备,2026-09-10,17.89,8.2,-0.17,1.53,0.68,18517.0,7.0,uptrend7,7/8
SZ002938,sz002938,鹏鼎控股,电子元件,电子元件,2026-09-10,94.76,-1.0,2.5,5.92,5.3,131037.0,6.0,uptrend7,6/8
SZ002941,sz002941,新疆交建,基础建设,基础建设,2026-09-10,11.16,3.7,-0.36,0.36,1.36,18566.0,5.0,uptrend7,5/8
SZ002953,sz002953,日丰股份,输变电设备,输变电设备,2026-09-10,11.13,15.6,-2.88,2.96,4.21,138100.0,5.0,uptrend7,5/8
SZ002957,sz002957,科瑞技术,通用设备,通用设备,2026-09-10,40.78,2.8,-0.88,-1.33,-0.34,32173.0,6.0,uptrend7,6/8
SZ002958,sz002958,青农商行,银行,银行,2026-09-10,3.02,2.0,-0.33,-0.33,1.68,197983.0,5.0,uptrend7,5/8
