ticker,prefixed,code6,name,industry,date,close,chg20,m,chg1,uptrend,turnover5
00772,hk00772,00772,阅文集团,媒体及娱乐,2026-09-03,20.1,0.3,-3.86,-1.08,5/8,243046209.7
02419,hk02419,02419,德康农牧,农业产品,2026-09-03,59.25,17.6,3.12,0.59,7/8,82925097.8
02687,hk02687,02687,卓越睿新,软件服务,2026-09-03,362.0,51.8,18.72,12.7,5/8,72773744.0
09858,hk09858,09858,优然牧业,食物饮品,2026-09-03,4.18,-2.7,-1.82,-2.79,5/8,107968631.6
01396,hk01396,01396,粤港湾智算,软件服务,2026-09-03,11.14,8.1,-1.23,-1.42,5/8,54138855.4
00013,hk00013,00013,和黄医药,药品及生物科技,2026-09-03,21.88,18.5,14.35,14.32,6/8,216815737.0
00290,hk00290,00290,国富量子,其他金融,2026-09-03,1.725,-0.3,0.28,-1.43,7/8,54452738.0
02556,hk02556,02556,迈富时,软件服务,2026-09-03,59.55,35.2,0.09,0.08,5/8,486238881.4
06699,hk06699,06699,时代天使,其他医疗保健,2026-09-03,95.25,3.5,0.25,-1.3,7/8,100121737.0
00639,hk00639,00639,首钢资源,煤炭,2026-09-03,2.95,23.9,-1.56,-0.51,6/8,84202968.7
03339,hk03339,03339,中国龙工,工业工程,2026-09-03,3.45,11.1,-0.56,1.47,5/8,57217013.1
00956,hk00956,00956,新天绿色能源,公用事业,2026-09-03,3.29,3.3,0.49,0.61,7/8,44575701.5
01866,hk01866,01866,中国心连心化肥,原材料,2026-09-03,11.6,24.9,2.23,2.2,8/8,49947001.8
01316,hk01316,01316,耐世特,汽车,2026-09-03,5.275,18.8,2.55,3.23,5/8,52844384.5
01196,hk01196,01196,伟禄科技股份,工业工程,2026-09-03,9.63,39.4,2.17,1.37,7/8,79831562.1
01686,hk01686,01686,新意网集团,软件服务,2026-09-03,5.43,14.1,3.59,-3.72,5/8,77501367.9
01112,hk01112,01112,H&H国际控股,其他医疗保健,2026-09-03,18.33,22.9,-1.16,-1.98,6/8,60376423.1
00165,hk00165,00165,中国光大控股,其他金融,2026-09-03,6.29,6.9,2.55,3.03,7/8,70762609.8
00354,hk00354,00354,中国软件国际,软件服务,2026-09-03,3.9,5.3,0.13,0.39,7/8,162232268.3
01030,hk01030,01030,新城发展,地产,2026-09-03,1.44,3.2,3.24,3.6,5/8,53772737.7
00038,hk00038,00038,第一拖拉机股份,工业工程,2026-09-03,9.545,9.1,-1.22,-0.73,6/8,58117302.9
00517,hk00517,00517,中远海运国际,工业工程,2026-09-03,6.825,17.6,1.97,2.55,8/8,53478606.6
01609,hk01609,01609,天星医疗,其他医疗保健,2026-09-03,151.5,21.7,-9.04,-12.43,5/8,57063875.0
00826,hk00826,00826,天工国际,一般金属及矿石,2026-09-03,3.12,5.2,0.71,0.32,5/8,102007204.9
03738,hk03738,03738,阜博集团,软件服务,2026-09-03,3.32,28.2,0.31,-1.04,7/8,218895334.9
02157,hk02157,02157,乐普生物,药品及生物科技,2026-09-03,4.32,2.0,-2.89,-1.82,5/8,68688796.1
02718,hk02718,02718,明略科技-W,软件服务,2026-09-03,48.88,10.6,-1.4,-0.65,6/8,374801611.9
07688,hk07688,07688,拓璞数控,工业工程,2026-09-03,16.72,-0.6,0.25,-1.94,7/8,51701762.8
06078,hk06078,06078,海吉亚医疗,其他医疗保健,2026-09-03,10.23,5.6,-0.72,-0.49,5/8,51605181.8
09678,hk09678,09678,云知声,软件服务,2026-09-03,78.25,9.6,-1.59,0.9,6/8,402992378.3
00147,hk00147,00147,国际商业结算,资讯科技器材,2026-09-03,0.232,373.5,12.02,18.97,5/8,62369503.5
00568,hk00568,00568,山东墨龙,石油及天然气,2026-09-03,4.73,-1.5,-1.58,-4.06,5/8,195882686.6
01057,hk01057,01057,浙江世宝,汽车,2026-09-03,4.125,1.2,1.31,2.23,5/8,52325121.0
02685,hk02685,02685,量化派,专业零售,2026-09-03,4.04,-7.1,0.22,-2.53,6/8,191046203.0
00708,hk00708,00708,恒大汽车,汽车,2025-03-31,0.17,-10.1,1.64,1.19,5/8,52271369.1
