industry,prefixed,code6,name,m,chg1,turnover5,date
药品及生物科技,hk03692,03692,翰森制药,-4.59,-1.86,360510578.6,2026-09-11
药品及生物科技,hk00013,00013,和黄医药,-4.68,-2.76,139397663.8,2026-09-11
药品及生物科技,hk03696,03696,英矽智能,-4.71,-6.31,969211980.7,2026-09-11
药品及生物科技,hk09606,09606,映恩生物-B,-4.87,-0.94,180960405.9,2026-09-11
药品及生物科技,hk06938,06938,瑞博生物-B,-5.24,-4.07,42527390.5,2026-09-11
药品及生物科技,hk02616,02616,基石药业-B,-5.54,-4.85,158567296.2,2026-09-11
药品及生物科技,hk02315,02315,百奥赛图-B,-5.94,-3.44,81432257.0,2026-09-11
药品及生物科技,hk06855,06855,亚盛医药,-6.01,-3.8,76037168.0,2026-09-11
药品及生物科技,hk01177,01177,中国生物制药,-6.06,-4.2,474845680.8,2026-09-11
药品及生物科技,hk01672,01672,歌礼制药-B,-6.24,-5.97,41294112.3,2026-09-11
药品及生物科技,hk06185,06185,康希诺生物,-7.43,-3.87,143449447.8,2026-09-11
药品及生物科技,hk02142,02142,和铂医药-B,-10.08,-9.16,260841350.3,2026-09-11
药品及生物科技,hk01952,01952,云顶新耀,-11.04,-6.09,225280325.0,2026-09-11
药品及生物科技,hk01779,01779,天辰生物-B,-12.85,-8.49,70218524.8,2026-09-11
药品及生物科技,hk07666,07666,剂泰科技-P,-12.95,-11.38,344312362.9,2026-09-11
资讯科技器材,hk01021,01021,华沿机器人,22.67,25.62,217231444.4,2026-09-11
资讯科技器材,hk02729,02729,凯乐士科技,17.7,17.64,64323648.8,2026-09-11
资讯科技器材,hk02670,02670,云迹,7.89,10.73,67113291.5,2026-09-11
资讯科技器材,hk06106,06106,仙工智能,6.57,-1.36,101307111.8,2026-09-11
资讯科技器材,hk02028,02028,映美控股,6.5,5.73,136362369.0,2026-09-11
资讯科技器材,hk06869,06869,长飞光纤光缆,3.14,3.44,4499854271.2,2026-09-11
资讯科技器材,hk03308,03308,中际旭创,2.26,4.37,2991479345.6,2026-09-11
资讯科技器材,hk00303,00303,VTECH HOLDINGS,0.96,1.36,88595814.1,2026-09-11
资讯科技器材,hk02018,02018,瑞声科技,0.8,1.2,184903529.2,2026-09-11
资讯科技器材,hk06810,06810,商米科技-W,0.64,-3.56,59993792.0,2026-09-11
资讯科技器材,hk02382,02382,舜宇光学科技,0.54,0.44,708811111.7,2026-09-11
资讯科技器材,hk01810,01810,小米集团-W,0.41,1.7,3867938880.8,2026-09-11
资讯科技器材,hk01415,01415,高伟电子,-0.68,0.17,50596737.9,2026-09-11
资讯科技器材,hk06166,06166,剑桥科技,-0.74,-2.35,2098152027.3,2026-09-11
资讯科技器材,hk02475,02475,立讯精密,-0.99,1.37,174939270.0,2026-09-11
资讯科技器材,hk00763,00763,中兴通讯,-1.18,0.0,143015747.1,2026-09-11
资讯科技器材,hk03396,03396,联想控股,-1.27,-2.19,223136487.2,2026-09-11
资讯科技器材,hk03388,03388,创想三维,-1.41,-0.46,59698535.3,2026-09-11
资讯科技器材,hk00992,00992,联想集团,-1.91,-2.98,2601644995.3,2026-09-11
资讯科技器材,hk03296,03296,华勤技术,-2.78,-1.8,57973153.0,2026-09-11
资讯科技器材,hk06613,06613,蓝思科技,-2.9,-1.67,179983829.6,2026-09-11
资讯科技器材,hk00285,00285,比亚迪电子,-3.05,-1.0,292261854.9,2026-09-11
资讯科技器材,hk01729,01729,汇聚科技,-3.33,-4.49,357469032.2,2026-09-11
资讯科技器材,hk00552,00552,中国通信服务,-3.51,-3.11,44757752.1,2026-09-11
资讯科技器材,hk02590,02590,极智嘉-W,-3.67,-0.96,96497613.5,2026-09-11
资讯科技器材,hk02715,02715,埃斯顿,-4.34,-1.97,50710825.2,2026-09-11
资讯科技器材,hk03268,03268,美格智能,-4.75,-1.72,71484388.6,2026-09-11
资讯科技器材,hk02432,02432,越疆,-5.44,-2.86,43926925.7,2026-09-11
资讯科技器材,hk09880,09880,优必选,-5.88,-3.29,448206228.7,2026-09-11
软件服务,hk02635,02635,诺比侃,6.18,6.05,113074010.9,2026-09-11
软件服务,hk03888,03888,金山软件,0.51,0.74,191315665.7,2026-09-11
软件服务,hk00700,00700,腾讯控股,-0.38,0.66,6594099178.3,2026-09-11
软件服务,hk03896,03896,金山云,-0.81,0.48,212744960.9,2026-09-11
软件服务,hk00020,00020,商汤-W,-1.07,0.38,514100365.0,2026-09-11
软件服务,hk09999,09999,网易,-1.1,-0.55,1305917406.2,2026-09-11
软件服务,hk06651,06651,五一视界,-1.58,1.37,93728685.4,2026-09-11
软件服务,hk09660,09660,地平线机器人-W,-2.06,-0.47,392213482.9,2026-09-11
软件服务,hk00268,00268,金蝶国际,-2.18,0.66,264856052.8,2026-09-11
软件服务,hk09698,09698,万国数据-SW,-2.23,-3.24,69787111.9,2026-09-11
软件服务,hk03738,03738,阜博集团,-2.48,1.96,147806004.1,2026-09-11
软件服务,hk01396,01396,粤港湾智算,-2.7,-3.89,60450263.6,2026-09-11
软件服务,hk00354,00354,中国软件国际,-2.85,-2.25,95025330.9,2026-09-11
软件服务,hk02013,02013,微盟集团,-3.44,-0.6,43315195.5,2026-09-11
软件服务,hk02498,02498,速腾聚创,-3.5,-1.75,57765946.8,2026-09-11
软件服务,hk02533,02533,黑芝麻智能,-3.55,-4.91,66164035.0,2026-09-11
软件服务,hk02026,02026,小马智行-W,-4.59,-2.37,45709010.9,2026-09-11
软件服务,hk06682,06682,范式智能,-4.72,-1.41,166787688.1,2026-09-11
软件服务,hk02400,02400,心动公司,-4.74,-2.44,221950158.0,2026-09-11
软件服务,hk02687,02687,卓越睿新,-5.13,-3.95,50170964.0,2026-09-11
软件服务,hk02525,02525,禾赛-W,-5.94,-3.66,136587944.7,2026-09-11
软件服务,hk03355,03355,飞速创新,-6.69,-6.2,56229543.4,2026-09-11
软件服务,hk01392,01392,海清智元,-7.34,-7.89,42726567.6,2026-09-11
软件服务,hk02718,02718,明略科技-W,-7.6,-4.17,156211189.4,2026-09-11
软件服务,hk01384,01384,滴普科技,-7.74,-4.91,196160921.9,2026-09-11
软件服务,hk02513,02513,智谱,-8.23,-3.17,5744050707.3,2026-09-11
软件服务,hk03317,03317,迅策,-8.82,-5.16,203822662.1,2026-09-11
软件服务,hk02556,02556,迈富时,-9.15,-6.15,321348121.3,2026-09-11
软件服务,hk00100,00100,MINIMAX-W,-12.21,-7.53,5514374136.1,2026-09-11
软件服务,hk02706,02706,海致科技集团,-13.07,-6.34,104216364.8,2026-09-11
软件服务,hk09678,09678,云知声,-13.68,-8.28,450242006.5,2026-09-11
