排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,趋势贡献,动量贡献,总分,池内,出池原因
,航空航天装备,18,4,4.43,2.59,36.27,"Solstice Advanced Materials Inc.[SOLS](7/8,+7%)、Arxis Inc.[ARXS](6/8,-8%)、Redwire Corporation[RDW](6/8,-14%)、Rocket Lab Corporation[RKLB](6/8,-18%)、◆Redwire Corporation[RDW](+7%)、◎Voyager Technologies Inc.[VOYG](+4%)、◆AEVEX Corp.[AVEX](+4%)、◆AAR Corp.[AIR](+3%)、◎Solstice Advanced Materials Inc.[SOLS](+1%)、◆Rocket Lab Corporation[RKLB](+3%)、◆AeroVironment Inc.[AVAV](+3%)",—,4.8,2.37,7.17,0,腿池外
,环保,30,5,5.97,0.65,9.01,"GFL Environmental Inc. Subordinate voting shares no par value[GFL](8/8,+4%)、Onterris Inc.[ONT](7/8,+15%)、CECO Environmental Corp.[CECO](7/8,+12%)、ABM Industries Incorporated[ABM](7/8,+6%)、Clean Harbors Inc.[CLH](6/8,+2%)、◎ABM Industries Incorporated[ABM](+8%)、◎CECO Environmental Corp.[CECO](+7%)、◎Onterris Inc.[ONT](+0%)、◎Clean Harbors Inc.[CLH](+0%)、◆Republic Services Inc.[RSG](-0%)、◆Waste Management Inc.[WM](-1%)、◆Tetra Tech Inc.[TTEK](-1%)",—,6.47,0.6,7.07,0,腿池外
,房地产开发,44,9,4.6,2.06,28.78,"LTC Properties Inc.[LTC](8/8,+7%)、EPR Properties[EPR](7/8,-0%)、Omega Healthcare Investors Inc.[OHI](7/8,-1%)、SBA Communications Corporation[SBAC](6/8,+5%)、PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest[PMT](6/8,+2%)、◎Fermi Inc.[FRMI](+12%)、◎Everus Construction Group Inc.[ECG](+2%)、◎CoreCivic Inc.[CXW](+1%)、◆Rexford Industrial Realty Inc.[REXR](+2%)、◆Vivmark Residential Common Shares of Beneficial Interest[VMRK](+1%)、◆Macerich Company (The)[MAC](+1%)、◆LTC Properties Inc.[LTC](+2%)",—,4.99,1.89,6.88,0,腿池外
,港口航运,44,8,5.46,1.03,14.5,"Hafnia Limited[HAFN](8/8,+27%)、TORM plc[TRMD](8/8,+20%)、CMB.TECH NV[CMBT](8/8,+19%)、Okeanis Eco Tankers Corp.[ECO](6/8,+26%)、ZIM Integrated Shipping Services Ltd.[ZIM](6/8,+19%)、◎ZIM Integrated Shipping Services Ltd.[ZIM](+5%)、◎Hafnia Limited[HAFN](+3%)、◆Viking Holdings Ltd[VIK](+3%)、◎TORM plc[TRMD](-1%)、◆BW LPG Limited[BWLP](+0%)、◎CMB.TECH NV[CMBT](-1%)、◆Matson Inc.[MATX](-1%)",—,5.92,0.94,6.86,0,腿池外
,贸易,36,8,4.43,2.17,30.37,"SiteOne Landscape Supply Inc.[SITE](7/8,+0%)、Core & Main Inc.[CNM](7/8,-5%)、Andersons Inc. (The)[ANDE](6/8,+8%)、Willis Lease Finance Corporation[WLFC](6/8,+2%)、WESCO International Inc.[WCC](6/8,-2%)、◎WESCO International Inc.[WCC](+2%)、◆Herc Holdings Inc.[HRI](+4%)、◆DXP Enterprises Inc.[DXPE](+3%)、◎EquipmentShare.com Inc[EQPT](-1%)、◆Willis Lease Finance Corporation[WLFC](+2%)、◎Sunbelt Rentals Holdings Inc.[SUNB](+1%)、◎Bluelinx Holdings Inc.[BXC](-1%)",—,4.8,1.99,6.79,0,腿池外
,其他轻工,6,1,5.92,0.35,4.83,"Vestis Corporation[VSTS](7/8,-2%)、◎Vestis Corporation[VSTS](+3%)、◎Herbalife Ltd.[HLF](+0%)、◆MSA Safety Incorporated[MSA](+0%)、◆Energizer Holdings Inc.[ENR](-1%)、◆Philip Morris International Inc[PM](+1%)、◆Universal Corporation[UVV](+0%)、◆Reynolds Consumer Products Inc.[REYN](+0%)",—,6.42,0.32,6.74,0,腿池外
,汽车,48,9,5.22,1.02,14.29,"AutoNation Inc.[AN](8/8,+1%)、Garrett Motion Inc.[GTX](8/8,-3%)、Group 1 Automotive Inc.[GPI](7/8,+6%)、Dauch Corporation[DCH](7/8,+5%)、Tesla Inc.[TSLA](6/8,+11%)、◎Dauch Corporation[DCH](+0%)、◆Rivian Automotive Inc.[RIVN](+3%)、◆Li Auto Inc.[LI](+1%)、◆Tesla Inc.[TSLA](+4%)、◎Modine Manufacturing Company[MOD](-1%)、◆Garrett Motion Inc.[GTX](+0%)、◆Allison Transmission Holdings Inc.[ALSN](-1%)",—,5.66,0.93,6.59,0,腿池外
,物流,26,5,5.14,1.08,15.06,"GMR Solutions Inc.[GMRS](7/8,+9%)、Knight-Swift Transportation Holdings Inc.[KNX](7/8,+3%)、J.B. Hunt Transport Services Inc.[JBHT](7/8,+3%)、Werner Enterprises Inc.[WERN](6/8,+9%)、Saia Inc.[SAIA](6/8,-0%)、◆GMR Solutions Inc.[GMRS](+3%)、◆C.H. Robinson Worldwide Inc.[CHRW](+2%)、◎J.B. Hunt Transport Services Inc.[JBHT](+0%)、◎Werner Enterprises Inc.[WERN](-1%)、◎Saia Inc.[SAIA](-1%)、◎Knight-Swift Transportation Holdings Inc.[KNX](-2%)、◆Landstar System Inc.[LSTR](-0%)",—,5.57,0.99,6.56,0,腿池外
,零售,44,9,4.76,1.4,19.6,"GameStop Corporation[GME](8/8,+0%)、Dillard's Inc.[DDS](7/8,+2%)、American Eagle Outfitters Inc.[AEO](7/8,-6%)、Abercrombie & Fitch Company[ANF](6/8,+28%)、Jumia Technologies AG American Depositary Shares each representing two[JMIA](6/8,+21%)、◎Abercrombie & Fitch Company[ANF](+1%)、◎Five Below Inc.[FIVE](+1%)、◆Victorias Secret & Co.[VSXY](+4%)、◆Wayfair Inc.[W](+1%)、◎Ollie's Bargain Outlet Holdings Inc.[OLLI](+0%)、◆Williams-Sonoma Inc. Common Stock (DE)[WSM](+0%)、◆Tractor Supply Company[TSCO](+1%)",—,5.16,1.28,6.44,0,腿池外
,食品,6,1,5.93,-0.17,-2.34,"Adecoagro S.A.[AGRO](7/8,+27%)、◎Adecoagro S.A.[AGRO](+4%)、◎Mondelez International Inc.[MDLZ](+1%)、◆Tyson Foods Inc.[TSN](+2%)、◎Smithfield Foods Inc.[SFD](+0%)、◆The Hershey Company[HSY](+0%)、◆The Kraft Heinz Company[KHC](+0%)、◆The Magnum Ice Cream Company N.V.[MICC](+0%)",—,6.43,-0.16,6.27,0,腿池外
